,,,,,,,
Jenis_Perangkat,Kategori_Problem,Dampak_Gangguan,Akses_Remote,Status_Fisik,Kondisi_Kabel,Diagnosis,Solusi
Multiple Perangkat (Area/POP Down),ICMP RTO/Loss,Banyak Perangkat di beberapa Area (Problem Pusat),Tidak bisa di remote,Listrik lokasi Mati,Perkabelan Aman,Terdapat Masalah Kelistrikan di salah satu Data center pusat yang menyebabkan beberapa router core mati/restart,Mengecek Panel listrik utama di lokasi | Mengecek UPS | Mengecek Terminal listrik yg terhubung kepada perangkat jika menggunakan power AC | Mengecek Rectifier jika perangkat menggunakan power DC | Mengecek kabel power yg terhubung pada perangkat
Router,Interface link down,Banyak Perangkat di beberapa Area (Problem Pusat),Bisa diakses dan Normal,Listrik & Perangkat Aman (Menyala Normal),SFP Rusak,Terdapat Masalah SFP di pada salah satu port Router Core yg terletak di Data Center Pusat,Mengganti SFP
Switch,Interface link down,Banyak Perangkat di beberapa Area (Problem Pusat),Bisa diakses dan Normal,Listrik & Perangkat Aman (Menyala Normal),Redaman Optik Jelek,"Terdapat Masalah antara pada Kabel, SFP atau Port Perangkat",Mengganti Kabel Patchcore | Mengganti SFP | Mencoba pindah ke Port lain
Router,Temperature Alert,Banyak Perangkat di beberapa Area (Problem Pusat),Bisa diakses tapi lag/timeout,Listrik aman perangkat Mati/Hang,Perkabelan Aman,"Terdapat Masalah pada AC di Data Center Pusat,  atau pada Fan Perangkat Router Core ",Mengecek Kondisi AC pada Ruangan Data Center | Mengganti Fan Module yg rusak pada Router Core | Jika Fan pada Router Core bukan versi modular maka Router core harus diganti
Multiple Perangkat (Area/POP Down),ICMP RTO/Loss,Banyak Perangkat dalam 1 Area,Tidak bisa di remote,Listrik & Perangkat Aman (Menyala Normal),Perkabelan Aman,Terdapat Gangguan pada kabel Core menuju PoP,Di eskalasi kan ke Tim FO Lapangan terkait untuk melakukan pengecekan ke jalur
Multiple Perangkat (Area/POP Down),ICMP RTO/Loss,Banyak Perangkat dalam 1 Area,Tidak bisa di remote,Listrik lokasi Mati,Perkabelan Aman,Terdapat Masalah Kelistrikan pada PoP,"Mengecek KwH Meter PoP | Mengecek perangkat kelistrikan di lokasi seperti UPS, Rectifier, Inverter, dan Terminal Listrik"
Switch,ICMP RTO/Loss,Banyak Perangkat dalam 1 Area,Tidak bisa di remote,Listrik aman perangkat Mati/Hang,Perkabelan Aman,Terdapat Masalah pada perangkat Switch Core di PoP,"Mengecek Patchcore, SFP, Dan Port Backbone jika terdapat masalah antara 3 hal tersebut ganti | Mengecek PSU Switch Core dan ganti jika bermasalah | Replace perangkat Switch Core jika Hang/Mati"
Router,ICMP RTO/Loss,Banyak Perangkat dalam 1 Area,Tidak bisa di remote,Listrik & Perangkat Aman (Menyala Normal),Perkabelan Aman,Terdapat Masalah pada perangkat Router Core di PoP,"Mengecek Patchcore, SFP, Dan Port kearah Switch Core jika terdapat masalah antara 3 hal tersebut ganti"
Router,High CPU/Memory,Banyak Perangkat dalam 1 Area,Bisa diakses dan Normal,Listrik & Perangkat Aman (Menyala Normal),Perkabelan Aman,"Traffik pada router overload ( Jumlah Client melebihi batas spesifikasi router ), Terlalu banyak konfigurasi pada Router, Adanya serangan jaringan seperti DDOS","Mengganti Router Existing dengan Router yang memiliki spesifikasi lebih tinggi | Menambah Router baru untuk membagi beban jaringan | Mengecek Log dan memastikan tidak ada log yg mencurigakan, jika ada maka tutup atau disable port/IP yg mencurigakan"
CPE/ONT Client,ICMP RTO/Loss,1 Perangkat dalam 1 Site,Tidak bisa di remote,Listrik aman perangkat Mati/Hang,Perkabelan Aman,Terdapat masalah pada perangkat CPE/ONT di sisi Client,Melakukan Hard Reset pada ONT| Mengganti perangkat CPE/ONT
CPE/ONT Client,ICMP RTO/Loss,1 Perangkat dalam 1 Site,Tidak bisa di remote,Perangkat nyala normal indikator port mati,Redaman Optik Jelek,Terdapat masalah di jalur kabel FO dri FAT kearah client,Melakukan pengecekan di sisi FAT dan dibersihkan jika kondisi kotor atau banyak serangga | Mengganti konektor di sisi FAT | Mengganti Port di sisi FAT
Router,BGP Peer Down,1 Perangkat dalam 1 Site,Tidak bisa di remote,Listrik & Perangkat Aman (Menyala Normal),Redaman Optik Jelek,Terdapat masalah di jalur kabel core kearah Client ( Kemungkinan FO Cut ),Di eskalasi kan ke Tim FO Lapangan terkait untuk melakukan pengecekan ke jalur
OLT,ICMP RTO/Loss,Banyak Perangkat dalam 1 Area,Bisa diakses tapi lag/timeout,Listrik aman perangkat Mati/Hang,Perkabelan Aman,Terdapat masalah pada fisik perangkat OLT,Mengganti card module yg bermasalah pada OLT | Mengganti perangkat OLT
